Time;Temp;RH;CO2
2022-05-21T17:00:00Z;25.33475;40.0265;414.4205
2022-05-21T18:00:00Z;25.173;39.61175;414.112
2022-05-21T19:00:00Z;24.80175;39.97125;418.322
2022-05-21T20:00:00Z;24.404;40.5825;424.77775
2022-05-21T21:00:00Z;23.92075;41.67125;432.84625
2022-05-21T22:00:00Z;23.42275;42.3505;447.514
2022-05-21T23:00:00Z;22.9995;42.5275;451.3125
2022-05-22T00:00:00Z;22.5165;42.8005;452.98475
2022-05-22T01:00:00Z;22.18625;43.262;458.27975
2022-05-22T02:00:00Z;21.82925;43.65425;470.05775
2022-05-22T03:00:00Z;21.54675;43.92775;482.76225
2022-05-22T04:00:00Z;21.1575;43.992;499.61725
2022-05-22T05:00:00Z;20.88875;44.19025;509.856
2022-05-22T06:00:00Z;20.72375;44.51675;517.95575
2022-05-22T07:00:00Z;20.7945;45.21575;510.2565
2022-05-22T08:00:00Z;21.17175;45.55975;496.7375
2022-05-22T09:00:00Z;21.615;46.1225;463.2275
2022-05-22T10:00:00Z;22.1855;46.60125;437.81475
2022-05-22T11:00:00Z;22.86275;45.66475;420.7535
2022-05-22T12:00:00Z;23.50825;44.8255;416.479
2022-05-22T13:00:00Z;24.31575;43.88025;411.71825
2022-05-22T14:00:00Z;25.1075;42.801;414.8955
2022-05-22T15:00:00Z;25.82;41.63875;418.61725
2022-05-22T16:00:00Z;26.1005;41.2045;420.12225
2022-05-22T17:00:00Z;26.00075;41.62675;414.351
2022-05-22T18:00:00Z;25.772;42.09925;414.53425
2022-05-22T19:00:00Z;25.40875;42.56;414.40725
2022-05-22T20:00:00Z;24.98075;43.0105;419.604
2022-05-22T21:00:00Z;24.48475;43.0105;425.388
2022-05-22T22:00:00Z;24.009;42.821;429.402
2022-05-22T23:00:00Z;23.60625;43.22525;426.8345
2022-05-23T00:00:00Z;23.27275;43.8345;432.5535
2022-05-23T01:00:00Z;22.988;44.44575;439.498
2022-05-23T02:00:00Z;22.77525;45.14175;447.26875
2022-05-23T03:00:00Z;22.481;45.81925;461.2015
2022-05-23T04:00:00Z;22.3445;46.6145;463.388
2022-05-23T05:00:00Z;22.275;47.414;462.84875
2022-05-23T06:00:00Z;22.18775;48.18225;457.36725
2022-05-23T07:00:00Z;22.17275;48.83125;460.67
2022-05-23T08:00:00Z;22.426;49.46475;464.6335
2022-05-23T09:00:00Z;23.03525;48.859;501.5395
2022-05-23T10:00:00Z;23.76925;46.96875;515.34625
2022-05-23T11:00:00Z;24.2625;45.83675;526.14275
2022-05-23T12:00:00Z;24.796;43.85925;539.2255
2022-05-23T13:00:00Z;25.5355;42.36475;553.81625
2022-05-23T14:00:00Z;26.06425;40.97675;545.4825
2022-05-23T15:00:00Z;26.385;40.69075;610.231
2022-05-23T16:00:00Z;26.60225;40.48575;641.68625
2022-05-23T17:00:00Z;26.51475;40.29925;658.6735
2022-05-23T18:00:00Z;25.818;39.9885;584.0085
2022-05-23T19:00:00Z;25.29175;41.034;588.4115
2022-05-23T20:00:00Z;24.73175;41.77125;576.79175
2022-05-23T21:00:00Z;24.25175;42.223;560.47075
2022-05-23T22:00:00Z;23.91325;42.486;544.83075
2022-05-23T23:00:00Z;23.5895;42.86525;537.22125
2022-05-24T00:00:00Z;23.1665;43.2845;522.626
2022-05-24T01:00:00Z;22.8765;43.46575;516.62875
2022-05-24T02:00:00Z;22.687;43.63575;502.6465
2022-05-24T03:00:00Z;22.50175;43.867;494.1355
2022-05-24T04:00:00Z;22.41125;43.993;487.79175
2022-05-24T05:00:00Z;22.229;44.07825;481.965
2022-05-24T06:00:00Z;22.17975;44.1355;473.65325
2022-05-24T07:00:00Z;22.28225;44.23525;464.3765
2022-05-24T08:00:00Z;22.46725;44.76675;458.06075
2022-05-24T09:00:00Z;23.30075;45.06575;467.7155
2022-05-24T10:00:00Z;24.31525;43.582;535.56175
2022-05-24T11:00:00Z;25.15825;42.40025;597.91525
2022-05-24T12:00:00Z;25.5985;41.00725;574.02475
2022-05-24T13:00:00Z;25.82125;40.8615;598.17125
2022-05-24T14:00:00Z;25.03025;43.47225;619.20425
2022-05-24T15:00:00Z;25.40475;43.18075;683.6845
2022-05-24T16:00:00Z;25.63025;40.31075;610.04925
2022-05-24T17:00:00Z;25.521;38.58175;533.8055
2022-05-24T18:00:00Z;25.0555;38.93;470.5495
2022-05-24T19:00:00Z;24.956;39.59625;487.65475
2022-05-24T20:00:00Z;24.91125;39.774;492.5545
2022-05-24T21:00:00Z;24.63725;40;494.792
2022-05-24T22:00:00Z;24.32175;40.16025;488.12425
2022-05-24T23:00:00Z;23.9475;40.2125;483.689
2022-05-25T00:00:00Z;23.59975;40.26725;482.35475
2022-05-25T01:00:00Z;23.31475;40.36625;476.53625
2022-05-25T02:00:00Z;23.0035;40.528;468.09825
2022-05-25T03:00:00Z;22.77525;40.77125;467.011
2022-05-25T04:00:00Z;22.566;41.00925;460.60625
2022-05-25T05:00:00Z;22.369;41.266;470.19075
2022-05-25T06:00:00Z;22.278;41.63475;462.21725
2022-05-25T07:00:00Z;22.166;42.04825;460.54975
2022-05-25T08:00:00Z;22.15175;43.38425;458.541
2022-05-25T09:00:00Z;21.9995;45.78675;467.40875
2022-05-25T10:00:00Z;21.709;48.638;498.044
2022-05-25T11:00:00Z;22.19625;48.586;566.4065
2022-05-25T12:00:00Z;22.62675;48.112;588.0475
2022-05-25T13:00:00Z;23.0635;47.9705;607.63225
2022-05-25T14:00:00Z;23.59225;48.28375;668.76475
2022-05-25T15:00:00Z;24.11775;47.98825;684.24125
2022-05-25T16:00:00Z;24.45925;47.30525;659.70625
2022-05-25T17:00:00Z;24.567;46.67675;605.87675
2022-05-25T18:00:00Z;24.5455;46.591;560.29825
2022-05-25T19:00:00Z;24.38175;46.50175;568.74075
2022-05-25T20:00:00Z;24.26625;46.39025;550.29875
2022-05-25T21:00:00Z;24.0195;46.44525;537.183
2022-05-25T22:00:00Z;23.70975;46.448;519.07575
2022-05-25T23:00:00Z;23.41425;46.48025;518.96475
2022-05-26T00:00:00Z;23.10466667;46.47266667;504.445
2022-05-26T01:00:00Z;22.89;46.469;493.585
2022-05-26T02:00:00Z;22.6525;46.33625;483.7405
2022-05-26T03:00:00Z;22.45325;46.3075;478.4825
2022-05-26T04:00:00Z;22.33775;46.1095;472.31225
2022-05-26T05:00:00Z;22.135;46.07025;468.7365
2022-05-26T06:00:00Z;22.113;46.107;466.27075
2022-05-26T07:00:00Z;22.058;46.353;455.329
2022-05-26T08:00:00Z;22.23275;47.36925;456.92775
2022-05-26T09:00:00Z;22.56;48.32275;464.45125
2022-05-26T10:00:00Z;22.73225;50.061;478.34125
2022-05-26T11:00:00Z;22.8065;51.29075;475.37875
2022-05-26T12:00:00Z;23.336;51.41975;656.224
2022-05-26T13:00:00Z;23.8005;51.429;489.70275
2022-05-26T14:00:00Z;24.518;50.14;544.34075
2022-05-26T15:00:00Z;24.577;49.242;565.215
2022-05-26T16:00:00Z;24.33925;50.074;611.13375
2022-05-26T17:00:00Z;24.3405;50.75225;652.7955
2022-05-26T18:00:00Z;24.0335;50.604;469.0295
2022-05-26T19:00:00Z;23.67775;51.11275;461.15125
2022-05-26T20:00:00Z;23.35675;52.882;639.9745
2022-05-26T21:00:00Z;23.3915;52.972;700.09125
2022-05-26T22:00:00Z;23.55025;52.33425;692.573
2022-05-26T23:00:00Z;23.4295;51.979;656.761
2022-05-27T00:00:00Z;23.304;51.77225;627.3825
2022-05-27T01:00:00Z;23.1665;51.601;603.5035
2022-05-27T02:00:00Z;22.9915;51.4125;586.60575
2022-05-27T03:00:00Z;22.8555;51.14975;565.0195
2022-05-27T04:00:00Z;22.63775;50.80475;548.14575
2022-05-27T05:00:00Z;22.4045;50.42825;538.9785
2022-05-27T06:00:00Z;22.29525;50.066;524.115
2022-05-27T07:00:00Z;22.365;50.10475;512.41925
2022-05-27T08:00:00Z;22.5635;49.68725;509.03975
2022-05-27T09:00:00Z;22.913;48.7845;532.44125
